Type,TypePrice,TypeName,Price,PricePrice,PriceName,Hit Dice,DicePrice,DiceName,Crit Range,CritRangePrice,CritName,Crit Multiplier,CritXPrice,Cname,Special 1,Sp1Price,Sp1Name,Special 2,Sp2Price,Sp2Name,Aim Distance,AimDistPrice,AimName,Max Distance,MaxDistPrice,MaxName
Knife,1,<Ramsteel,,15,^Letter Opener,1d4,10,,20,1,,x2,2.25,,,1,,,1,,N/A,1,,N/A,1,
Knife,1,<BloodIron,,16,>Knife,1d4,10,,20,1,,x2,2.25,,Armour Piercing 2,1.2,<Punching,,1,,N/A,1,,N/A,1,
Knife,1,<CarbonSteel,,17,>Dagger,1d4,10,,20,1,,x3,3.375,,Armour Piercing 5,1.3,<Slayer's,,1,,N/A,1,,N/A,1,
Knife,1,<Titillium,,18,>Blade,1d4,10,,20,1,,x3,3.375,,,1,,Armour Piercing 5,1.3,^Unwelcome visitor,N/A,1,,N/A,1,
Knife,1,<Paladium,,19,>Edge,1d4,10,,20,1,,x3,3.375,,Armour Piercing 5,1.3,>Sidestep,,1,,N/A,1,,N/A,1,
Knife,1,<Ivory,,20,>Blade,1d6,25,,20,1,,x3,3.375,,,1,,Armour Piercing 20,1.9,^Forgiveness,N/A,1,,N/A,1,
Knife,1,<Elegant,,21,>Cyrillic,1d6,25,,20,1,,x4,5.0625,,Concealable,1.3,<Oragami,,1,,N/A,1,,N/A,1,
Knife,1,<Lover's,,22,^Comic Sans,1d6,25,,20,1,,x4,5.0625,,,1,,Concealable,1.3,<Discrete,N/A,1,,N/A,1,
Knife,1,<Sacrificial,,23,>Scalpel,1d4,10,,19-20,1.4,,x5,7.59375,,Concealable,1.3,<Elegant,,1,,N/A,1,,N/A,1,
Knife,1,<Emphatic,,24,>Dirk,1d4,10,,19-20,1.4,,x6,11.390625,,Concealable,1.3,<Backhand,,1,,N/A,1,,N/A,1,
Knife,1,^Nutmeg,,25,>Lancet,1d4+1,35,,18-20,1.96,,x7,17.0859375,,,1,,Concealable,1.3,<Folding,N/A,1,,N/A,1,
Knife,1,<Heirloom,,26,>Stiletto,1d4+1,35,,17-20,2.744,<Seeking,x8,25.62890625,>Anatomist,Concealable,1.3,^Kind regards,,1,,N/A,1,,N/A,1,
Knife,1,<Pristene,,27,>Knife,1d4,10,,20,1,,x2,2.25,,,1,,Chekov's: once per day you can summon This weapon to your hand.,2.5,<Timely,N/A,1,,N/A,1,
Knife,1,<Polished,,15,>Dagger,1d4,10,,20,1,,x2,2.25,,+1 counterattack range,1.2,<Dancer's,Chekov's: once per day you can summon This weapon to your hand.,2.5,<Signature,N/A,1,,N/A,1,
Knife,1,<Incisive,,16,>Blade,1d4,10,,20,1,,x2,2.25,,+2 counterattack range,1.55,>Swordcatcher,Chekov's: once per day you can summon This weapon to your hand.,2.5,<Chekov's,N/A,1,,N/A,1,
Knife,1,<Ebony,,17,>Edge,1d4,10,,20,1,,x3,3.375,,+4 counterattack range,1.8,<Duelist's,,1,,N/A,1,,N/A,1,
Knife,1,<Bronze,,18,>Dagger,1d4,10,,20,1,,x3,3.375,,+4 counterattack range,1.8,>Bladeturner,,1,,N/A,1,,N/A,1,
Knife,1,<Bone,,19,>Knife,1d4,10,,20,1,,x3,3.375,,,1,,"This weapon con make counter attacks, even when you fail to dodge",1.4,<Vengeful,N/A,1,,N/A,1,
Knife,1,<Ironcore,,20,>Shiv,1d6,25,,20,1,,x3,3.375,,+3 aim vs team mates,1.1,^Treason,,1,,N/A,1,,N/A,1,
Knife,1,<Donec,,21,>Needle,1d6,25,,20,1,,x4,5.0625,,,1,,,1,,N/A,1,,N/A,1,
Knife,1,<Semper,,22,>Pin,1d6,25,^Tango,20,1,,x4,5.0625,,,1,,,1,,N/A,1,,N/A,1,
Knife,1,<Blandit,,23,>Helvetica,1d4,10,,19-20,1.4,,x5,7.59375,,,1,,Tempered Glass: ignores metal detectors,1.3,<Obsidian,N/A,1,,N/A,1,
Knife,1,<Cras,,24,>Sharpness,1d4,10,,19-20,1.4,,x6,11.390625,,,1,,,1,,N/A,1,,N/A,1,
Knife,1,<Morbi,,25,>Slicer,1d4+1,35,^Forced Welcome,18-20,1.96,,x7,17.0859375,,"Glass: Ignores metal detectors, shatters on attack roll of 1",0.95,^The Icicle,,1,,N/A,1,,N/A,1,
Knife,1,<Eros,,26,>Tooth,1d4+1,35,,17-20,2.744,>Angel,x8,25.62890625,>Surgeon,"Glass: Ignores metal detectors, shatters on attack roll of 1",0.95,<Crystal,,1,,N/A,1,,N/A,1,
Knife,1,<Luctus,,27,>``Spoon'',1d4,10,,20,1,,x2,2.25,,"Glass: Ignores metal detectors, shatters on attack roll of 1",0.95,>Mirror,,1,,N/A,1,,N/A,1,
Knife,1,<Laoreet,,15,>Italic,1d4,10,,20,1,,x2,2.25,,,1,,Fang: +5 to the DC of all poisons delivered via this weapon.,1.1,<Basilisk's,N/A,1,,N/A,1,
Knife,1,<Etima,,16,>Afterthought,1d4,10,,20,1,,x2,2.25,,,1,,Fang: +5 to the DC of all poisons delivered via this weapon.,1.1,<Widow's,N/A,1,,N/A,1,
Knife,1,<Nunc,,17,>Footnote,1d4,10,,20,1,,x3,3.375,,,1,,,1,,N/A,1,,N/A,1,
Knife,1,<Aliquam,,18,>Appendix,1d4,10,,20,1,,x3,3.375,,,1,,,1,,N/A,1,,N/A,1,
Knife,1,<Agent's,,19,>Fate,1d4,10,,20,1,,x3,3.375,,,1,,,1,,N/A,1,,N/A,1,
Knife,1,<Existential,,20,>Wit,1d6,25,,20,1,,x3,3.375,,Backstabber: +3 damage during sneak attack,3,<Shadow's,,1,,N/A,1,,N/A,1,
Knife,1,<Ironstrike,,21,>Punchline,1d6,25,,20,1,,x4,5.0625,,Backstabber: +3 damage during sneak attack,3,<Moonlit,,1,,N/A,1,,N/A,1,
Knife,1,<Woodford,,22,>Shard,1d6,25,,20,1,,x4,5.0625,,,1,,,1,,N/A,1,,N/A,1,
Knife,1,<Black,,23,>Lifetaker,1d4,10,,19-20,1.4,,x5,7.59375,,Assasination: + 5 damage during sneak attack,5,<Assasin's,,1,,N/A,1,,N/A,1,
Knife,1,<Scarlet,,24,>Constantia,1d4,10,,19-20,1.4,,x6,11.390625,,,1,,"Balanced: Can be used as a throwing dagger. Max range 6, range increment 2.",1.3,<Balanced,N/A,1,,N/A,1,
