"ReadTime";"Bonus";"QualityPrice";"Minranks";"TypeNames";777;"Subject";"SubjectPrice";"SubjectName"
"one hour";2;25;1;"Almanac";;"survival and nature checks made to identify the names and properties of plants";1;">of Botony#<Botanical"
"one hour";3;50;1;"Encyclopedia";;"medical and biotech checks made to identify diseases";1;">of ailements and diseases#<Disease identification"
"one hour";1;5;0;"Beginers guide";;"engineering checks made investigate space station engines and power cores";1.2;">of reactors engineering#<Cycle and Thruster#"
"one hour";8;200;8;"Technical manual";;"any single knowledge check";50;">of everything#<Universal#>of the known universe"
"five minutes";1;55;0;"Cliff notes";;"engineering and repair checks dealing with electronic circuits";5;"<Eletrician's#>of circuitry#>capacitors and resistors"
"five minutes";2;35;5;"Reference sheet";;"medical and biotech checks made to identify poisons";1.2;"<Advanced Toxin identification#> for poison identification"
"one minute";1;35;3;"Flowchart";;"safely disabling engines, collapsing buildings, or landing broken spacecraft.";5;"<Contingency planning#>of safe failure modes#<Worst case scenario"
"one minute";1;35;1;"Visual Guide";;"all checks made to identify and use alien artifacts";15;"<Xenoarcheology#> of alien identification#<The Other"
"one hour";5;150;5;"Omnibus";;"history checks involving the colonisation of the system.";1;">Of the age of colonisation#<First landings:"
"one day";5;50;12;"Annals";;"history checks involving the Compact.";1.5;"<Shackles of the gods:#> of the great Compact"
"one hour";2;60;3;"Textbook";;"history checks regarding the city of Embassy.";1.5;"<The unsleeping city:#>: the founding of Embassy#^Where Witches Roost#^Neutral ground#^The building of a city"
"one hour";2;25;1;"Almanac";;"history checks involving the liberation and enslavement of the Nix, Vesp, Nymph and Jotunn.";1;">Synthlings in society#<Ownership and freedoms of modified humanoids"
"one hour";3;50;1;"Encyclopedia";;"history checks involving ``The Project''";1.5;"<Dichotomy in retrospective:#^Progress of the Project"
"one hour";1;5;0;"Beginers guide";;"Knowledge local checks made to find suitable accommadations";2;"<Berkin's complete hospitality#>of things to eat and places to stay."
"one hour";8;200;8;"Technical manual";;"history and politics checks involving marriages and bloodlines of Nix, Jotunn and Geneticists";1;"^Geneology of Jotunn, Nix and Geneticits#>of marriages and parentage."
"five minutes";1;55;0;"Cliff notes";;"engineering and biotech checks involving life support systems and enclosed environments";1;"^Cycles#>Of closed environment engineering and ecology#<Life support"
"five minutes";2;35;5;"Reference sheet";;"medical checks involving sprains, breaks and fractures.";2;">Of fracture treatment#<Orthopedic"
"one minute";1;35;3;"Flowchart";;"Any knowledge check involving radiation or radioactive substances";1.5;">of Radiation#<Nuclearly active substances"
"one minute";1;35;1;"Visual Guide";;"history, politics and astrography checks involving the Edict of Silence";1;"<Silent space#> of the Edict#^Zoryas' decree"
"one hour";5;150;5;"Omnibus";;"knowledge nature and biotech checks involving Chimeras and other created beasts";2;">Of Chimeric beings#<Pandora's grandchildren:"
"one day";5;50;12;"Annals";;"Knowledge biotech and nature checks involving Insects";1;">of ants, beetles and spiders#<Creepy crawley"
"one hour";2;60;3;"Textbook";;"history, political or sense motive checks involving the actions of the AI Empire";2;"<Empire and Enemy#^The first God#^The Fallen king#^Angelforge#>: Empire in history and culture#^Empire, and what we know of him."
"one hour";2;60;3;"Textbook";;"Skill checks made to decrypt coded messeges and encrypted files";3;">of encryption#<Cyrptography#>of ciphers, codes and secret languages"
