"Type";"TypePrice";"TypeName";"Price";"PricePrice";"PriceName";"Hit Dice";"DicePrice";"DiceName";"Crit Range";"CritRangePrice";"CritName";"Crit Multiplier";"CritXPrice";"Cname";"Special 1";"Sp1Price";"Sp1Name";"Special 2";"Sp2Price";"Sp2Name";"Aim Distance";"AimDistPrice";"AimName";"Max Distance";"MaxDistPrice";"MaxName"
"Pistol";1;"<Personal";;65;">Astra";"1d4";24.8802079975;;"17-20";2.744;">Heartseeker";"x2";1.96;;"Malfunctioning: Jams on attack rolls 3 or lower";0.9;;"Chekov's: once per day you can summon This weapon to your hand.";2.5;"<Timely";1;0.6;">Consecutive";3;0.7513148009;
"Pistol";1;"<Boistrous";;65;">Hardballer";"1d4";24.8802079975;;"17-20";2.744;"^Bad Monday";"x2";1.96;;;1;;"Malfunctioning: Jams on attack rolls 3 or lower";0.9;;2;0.7692307692;">Adjacent";5;0.7513148009;
"Pistol";1;"<Browning";;65;">Skipper";"1d4";24.8802079975;;"17-20";2.744;"<Mean";"x2";1.96;;"Malfunctioning: Jams on attack rolls 2 or lower";0.95;;;1;;2;0.7692307692;">Vicinity";5;0.7513148009;
"Pistol";1;"<Rordnard";;65;">Astra";"1d4";24.8802079975;;"17-20";2.744;"<Wicked";"x2";1.96;;;1;;"Well maintained- never breaks or jams.";1.1;;2;0.7692307692;">bluntnose";5;0.7513148009;
"Pistol";1;"<Thankful";;65;">Tomcat";"1d4";24.8802079975;;"17-20";2.744;;"x2";1.96;;"Well maintained- never breaks or jams.";1.1;"<Oiled";;1;;2;0.7692307692;;5;0.7513148009;
"Pistol";1;"<Doctor's";;65;">Neos";"1d6";47.2723951953;;"20";1;;"x2";1.96;;;1;;"Well maintained- never breaks or jams.";1.1;"<Masterwork";3;1;;5;0.7513148009;
"Pistol";1;"<Vindictive";;66;">Una";"2d4";123.80495;;"20";1;;"x2";1.96;;"Loyal: Can never be used by other characters";1.1;">Hound";;1;;3;1;;6;0.826446281;
"Pistol";1;"<Soothing";;67;">Single";"1d6";47.2723951953;;"20";1;;"x2";1.96;;;1;;"Loyal: Can never be used by other characters";1.1;;3;1;;5;0.7513148009;
"Pistol";1;"<Quilted";;66;">Sinker";"2d4";123.80495;;"20";1;;"x2";1.96;;"Quick Draw: You can draw this weapon as a swift action";1;"<Handy";;1;;3;1;;6;0.826446281;
"Pistol";1;"<Tyrannical";;67;">Thunder";"2d4";123.80495;;"20";1;;"x2";1.96;;;1;;;1;;3;1;;6;0.826446281;
"Pistol";1;"<Exile's";;67;">Ten";"1d6";47.2723951953;;"20";1;;"x2";1.96;;;1;;"Amphibious: Can be used underwater.";1.2;"<Nix's";3;1;;5;0.7513148009;
"Pistol";1;"<Exalted";;66;">Westerly";"2d4";123.80495;;"20";1;;"x2";1.96;;"Nothing short of dropping it into boiling lava will destroy this item.";1.1;"<Indestructable";"Amphibious: Can be used underwater.";1.2;"^Davey Jones";3;1;;6;0.826446281;
"Pistol";1;"<White Cartridge";;67;">Front";"2d4";123.80495;;"20";1;;"x2";1.96;;;1;;"Amphibious: Can be used underwater.";1.2;"<Nautalis";3;1;;6;0.826446281;
"Pistol";1;"<Hammerhaim";;67;">Bubblegum";"1d6";47.2723951953;;"20";1;;"x2";1.96;;"Gain a +5 bonus on bluff checks to convince others this item is harmless";1.8;">Whimsy";"Gain a +5 bonus on bluff checks to convince others this item is harmless";1.8;"<Adorable";3;1;;5;0.7513148009;
"Pistol";1;"<Basalisk's";;66;">Namesake";"1d6";47.2723951953;;"20";1;;"x2";1.96;;;1;;"Anything flamable fired upon with this weapon will catch fire.";1.1;">Igniter";3;1;;5;0.7513148009;
"Pistol";1;"<Gorgon's";;66;">Astra";"1d6";47.2723951953;;"20";1;;"x2";1.96;;"Concealable";1.3;"<Sleaved";;1;;3;1;;5;0.7513148009;
"Pistol";1;"<Beholder's";;66;">Nightwatch";"1d8";89.8175508711;;"20";1;;"x3";2.744;;;1;;"Concealable";1.3;">Derringer";4;1.3;;6;0.826446281;
"Pistol";1;"<Serpant's";;68;">Peacemaker";"1d6";47.2723951953;;"20";1;;"x2";1.96;;"Concealable";1.3;"<Pocket";;1;;3;1;;5;0.7513148009;
"Pistol";1;"<Blondie";;66;">Hand cannon";"1d4";24.8802079975;;"17-20";2.744;;"x2";1.96;;;1;;"Ironic (critical hits on 1)";1.4;"<Lucky";2;0.7692307692;;5;0.7513148009;
"Pistol";1;"<Redhead's";;65;">six-shooter";"1d6";47.2723951953;;"20";1;;"x2";1.96;;;1;;"Ironic (critical hits on 1)";1.4;">Rimshot";3;1;;5;0.7513148009;
"Pistol";1;"<Saphire";;66;">Mercy";"2d4";123.80495;;"20";1;;"x2";1.96;;"When duel wielding pistols (and only pistols, gain a +1 aim bonus to both guns.";1.1;">Balancing";"Painful: double all will saves vs pain prompted by this weapon.";1.3;;3;1;;6;0.826446281;
"Pistol";1;"<Emerald";;67;">Peace";"1d8";89.8175508711;;"20";1;;"x3";2.744;;;1;;"Painful: double all will saves vs pain prompted by this weapon.";1.3;;4;1.3;;6;0.826446281;
"Pistol";1;"<Ruby";;68;">Hope";"1d10";170.653346655;;"20";1;;"x3";2.744;;"Can be used for counter-attacks against melee attacks";1.8;"<Daring";;1;;3;1;;7;0.9090909091;
