"Type";"TypePrice";"TypeName";"Price";"PricePrice";"PriceName";"Hit Dice";"DicePrice";"DiceName";"Crit Range";"CritRangePrice";"CritName";"Crit Multiplier";"CritXPrice";"Cname";"Special 1";"Sp1Price";"Sp1Name";"Special 2";"Sp2Price";"Sp2Name";"Aim Distance";"AimDistPrice";"AimName";"Max Distance";"MaxDistPrice";"MaxName"
"Revolver";1;"<Desert";;3;">Eagle";"1d6";47.2723951953;;"20";1;;"x2";1.96;;"Malfunctioning: Jams on attack rolls 3 or lower";0.85;"<Finnicky";"Chekov's: once per day you can summon This weapon to your hand.";2.5;"<Chekov's";3;1;;8;1;
"Revolver";1;"<Lighthouse";;3;">Commodore";"1d6";47.2723951953;;"20";1;;"x2";1.96;;;1;;"Malfunctioning: Jams on attack rolls 3 or lower";0.85;"<Defective";3;1;;8;1;
"Revolver";1;"<Battlefield";;3;">Hawk";"1d6";47.2723951953;;"20";1;;"x2";1.96;;"Malfunctioning: Jams on attack rolls 2 or lower";0.95;"<Delicate";;1;;3;1;;8;1;
"Revolver";1;"<Badlands";;3;">Harrier";"1d6";47.2723951953;;"20";1;;"x2";1.96;;;1;;"Well maintained- never breaks or jams.";1.1;">Dependable";3;1;;8;1;
"Revolver";1;"<Utopia";;3;">Raptor";"1d6";47.2723951953;;"20";1;;"x2";1.96;;"Well maintained- never breaks or jams.";1.1;"<Sturdy";;1;;3;1;;8;1;
"Revolver";1;"<Unction";;3;">Alchemist";"1d6";47.2723951953;;"20";1;;"x2";1.96;;;1;;"Well maintained- never breaks or jams.";1.1;"<Rugged";3;1;;8;1;
"Revolver";1;"<Sandstorm";;3;">Enhumer";"1d6";47.2723951953;;"20";1;;"x2";1.96;;"Loyal: Can never be used by other characters";1.1;"<Territorial";;1;;3;1;;8;1;
"Revolver";1;"<Jeweled";;3;">Eagle";"1d6";47.2723951953;;"20";1;;"x2";1.96;;;1;;"Loyal: Can never be used by other characters";1.1;">Familiar";3;1;;8;1;
"Revolver";1;"<Anderson's";;3;">Commodore";"1d6";47.2723951953;;"20";1;;"x2";1.96;;"Quick Draw: You can draw this weapon as a swift action";1.05;"<Handy";;1;;3;1;;8;1;
"Revolver";1;"<Rordnard";;3;">Hawk";"1d6";47.2723951953;;"20";1;;"x2";1.96;;"Quick Draw: You can draw this weapon as a swift action";1.05;"<Handy";;1;;3;1;;8;1;
"Revolver";1;"<Restoration";;3;">Harrier";"1d6";47.2723951953;;"20";1;;"x2";1.96;;"Quick Draw: You can draw this weapon as a swift action";1.05;"<Handy";"Amphibious: Can be used underwater.";1.2;"<Pacific";3;1;;8;1;
"Revolver";1;"<Blasphemous";;3;">Raptor";"1d4";24.8802079975;"^P-Shooter";"20";1;;"x1";1.4;"<Blunt";;1;;;1;;3;1;;8;1;
"Revolver";1;"<Daybreak";;2;">Absolute";"1d4";24.8802079975;">Mosquito";"20";1;;"x1";1.4;"<Blunt";;1;;;1;;3;1;;8;1;
"Revolver";1;"^Page Thirteen";;2;">Deliverance";"1d4";24.8802079975;"<Dimutive";"20";1;;"x1";1.4;">Bowler";;1;;;1;;3;1;;8;1;
"Revolver";1;"<St Peter's";;2;">Axiom";"1d4";24.8802079975;"^Nickname";"20";1;;"x1";1.4;"<Idiot's";;1;;;1;;3;1;;8;1;
"Revolver";1;"< ";;2;">Blasphemy";"1d4";24.8802079975;;"20";1;;"x1";1.4;">Brick";"Concealable";1.5;"<Pocket";;1;;3;1;;8;1;
"Revolver";1;"< ";;2;">Opposition";"1d4";24.8802079975;;"20";1;;"x1";1.4;"< Simplfied";;1;;;1;;3;1;;8;1;
"Revolver";1;"<The";;2;">Tombkeeper";"2d4";123.80495;;"20";1;;"x2";1.96;;;1;;;1;;3;1;;7;0.9090909091;
"Revolver";1;"<Elementary";;4;">Catalyst";"2d4";123.80495;;"20";1;;"x2";1.96;;;1;;"Ironic (critical hits on 1)";1.4;"<Ironic";3;1;;7;0.9090909091;
"Revolver";1;"<R 445";;4;">Blitz";"2d4";123.80495;;"20";1;;"x2";1.96;;;1;;"Ironic (critical hits on 1)";1.4;"^Curtain call";3;1;;7;0.9090909091;
"Revolver";1;"<P 18";;4;">Redox";"2d4";123.80495;;"20";1;;"x2";1.96;;;1;;"Painful: triple all will saves prompted by this weapon.";1.3;"<Sadistic";3;1;;7;0.9090909091;
"Revolver";1;"<ZZYZ";;4;">Avenger";"1d8";89.8175508711;;"20";1;;"x2";1.96;;;1;;;1;;4;1.3;;7;0.9090909091;
"Revolver";1;"<Temple";;5;">Jack";"1d8";89.8175508711;;"20";1;;"x2";1.96;;;1;;;1;;4;1.3;;7;0.9090909091;
"Revolver";1;"<Bloody";;5;"^Tourist";"1d8";89.8175508711;;"20";1;;"x2";1.96;;;1;;;1;;4;1.3;;7;0.9090909091;
"Revolver";1;"<Baratone";;5;"^Sebastian";"1d8";89.8175508711;;"20";1;;"x2";1.96;;;1;;;1;;4;1.3;;7;0.9090909091;
"Revolver";1;"<Lady's";;5;"^Forgiveness";"1d10";170.653346655;;"20";1;;"x2";1.96;;;1;;;1;;4;1.3;;8;1;
"Revolver";1;"<Vandal's";;6;">Ultimatum";"1d10";170.653346655;;"20";1;;"x2";1.96;;;1;;"-2 aim";0.7;"<Awkward";4;1.3;;8;1;
"Revolver";1;"<Confident";;6;">Darling";"1d10";170.653346655;"^Nine";"20";1;;"x2";1.96;;;1;;;1;;4;1.3;;8;1;
"Revolver";1;"<Midnight";;6;">Joker";"3d4";616.0585814246;"^U2";"19-20";1.4;;"x3";2.744;;"+3 aim vs team mates";1.1;"^Starscream";;1;;2;0.7692307692;"<Close quarters";9;1.1;
"Revolver";1;"<Oblivion";;7;">Triumph";"3d4";616.0585814246;;"19-20";1.4;;"x3";2.744;;;1;;;1;;2;0.7692307692;;9;1.1;
"Revolver";1;"<Wizard's";;7;">Mystic";"3d4";616.0585814246;"^The Impressionist";"19-20";1.4;;"x3";2.744;;;1;;"+1 aim";1.4;"<Accurate";2;0.7692307692;;9;1.1;
