Type,TypePrice,TypeName,Price,PricePrice,PriceName,Hit Dice,DicePrice,DiceName,Crit Range,CritRangePrice,CritName,Crit Multiplier,CritXPrice,Cname,Special 1,Sp1Price,Sp1Name,Special 2,Sp2Price,Sp2Name,Aim Distance,AimDistPrice,AimName,Max Distance,MaxDistPrice,MaxName
Rifle,1,<Inductive,,5,>Perihellion,1d4,45,<Primative,19-20,1.4,,x3,3.375,,Malfunctioning: Jams on attack rolls 3 or lower,0.9,<Degenerate,Chekov's: once per day you can summon This weapon to your hand.,2.5,<Timely,5,1,,3,0.5,
Rifle,1,<Cartesian,,5,>Elliptic,1d6,100,,19-20,1.4,,x2,2.25,,,1,,Malfunctioning: Jams on attack rolls 3 or lower,0.9,<Sensitive,5,1,,10,1,
Rifle,1,<Linear,,5,>Obtuse,2d4,400,,19-20,1.4,<Mean,x2,2.25,,Malfunctioning: Jams on attack rolls 2 or lower,0.95,<Inconsistant,,1,,6,1.3,,12,1,
Rifle,1,<Fractal,,5,>Parralelogram,1d8,370,,18-20,1.96,,x2,2.25,,,1,,Well maintained- never breaks or jams.,1.1,,6,1.3,,10,1,
Rifle,1,<Fixed,,5,>Topology,1d10,600,,20,1,,x2,2.25,,Well maintained- never breaks or jams.,1.1,<Oiled,,1,,6,1.3,,14,1,
Rifle,1,<Sequential,,5,>Altitude,3d4,700,,20,1,,x2,2.25,,,1,,Well maintained- never breaks or jams.,1.1,<Masterwork,8,1.3,,18,1,
Rifle,1,<Null,,5,>Asymptotic,2d6,446.9358695,,20,1,,x3,3.375,,Loyal: Can never be used by other characters,1.1,>Hound,,1,,8,1.3,,9,1,
Rifle,1,<Oblique,,5,>Pertubation,1d12,324.2413586445,,20,1,,x3,3.375,,,1,,Loyal: Can never be used by other characters,1.1,,10,1.5,,8,1,
Rifle,1,<Tangential,,5,>Apex,3d6,4225.5458099912,,20,1,^Back of the envelope,x2,2.25,,Quick Draw: You can draw this weapon as a swift action,1,<Handy,Needs to be reloaded after each shot. Reloading is  a standard action,0.5,>Unitary,10,1.5,,10,1,
Rifle,1,<Alpha,,5,>Annulus,2d8,1613.438488895,,19-20,1.4,,x2,2.25,,,1,,,1,,10,1.5,,20,1,
Rifle,1,<Beta,,5,>Congruence,1d8,89.8175508711,,20,1,,x2,2.25,,,1,,Amphibious: Can be used underwater.,1.2,<Nix's,12,1.5,,30,1,
Rifle,1,<Omega,,5,>Axis,1d8,370,,20,1,,x3,3.375,,Nothing short of dropping it into boiling lava will destroy this item.,1.1,<Indestructable,,1,,15,2,>Infinite,30,1,
Rifle,1,<Iota,,5,>Apothem,2d10,5824.512944911,,18-20,1.96,,x2,2.25,,,1,,+3 aim if you are above your target (your feet higher than their head),1.5,>Altitude,5,1,,30,1,
Rifle,1,<Epsilon,,5,>Hypothesis,2d12,21026.4917311285,<Trivial,20,1,,x1,1.5,,,1,,+3 aim if you are above your target (your feet higher than their head),1.5,<Rooftop,5,1,,7,1,
Rifle,1,<Orthogonal,,5,>Contradiction,1d4,45,,19-20,1.4,,x3,3.375,,,1,,Requires a DC25 repair check to unjam whenever you roll a critical fumble.,0.85,<Complex,6,1.3,,8,1,
Rifle,1,<Scalene,,5,>Bisctor,1d6,100,,19-20,1.4,,x2,2.25,,Can be disassembled into a concelable collection of pipes. Two minutes assembly/disassembly time.,1.3,>Modulo,,1,,6,1.3,,10,1,
Rifle,1,<Elementary,,5,>Concentric,2d4,400,,19-20,1.4,,x2,2.25,,,1,,,1,,6,1.3,,12,1,
Rifle,1,<Elegant,,5,>Dilation,1d8,370,,18-20,1.96,,x2,2.25,,,1,,,1,,8,1.3,,10,1,
Rifle,1,<Rigourous,,5,>Ratio,1d10,600,,20,1,,x2,2.25,,,1,,,1,,8,1.3,,14,1,
Rifle,1,<Generic,,5,>Isocline,3d4,700,,20,1,,x2,2.25,,,1,,,1,,10,1.5,,18,1,
Rifle,1,<Sufficient,,5,>Nullcline,1d6,100,,20,1,,x3,3.375,,,1,,Painful: double all will saves vs pain prompted by this weapon.,1.3,,10,1.5,,9,1,
Rifle,1,<Unique,,5,>Mobius,2d4,400,,20,1,,x3,3.375,,,1,,Painful: double all will saves vs pain prompted by this weapon.,1.3,,10,1.5,,8,1,
Rifle,1,<Usual,,5,>Isometry,1d8,370,,20,1,,x2,2.25,,,1,,,1,,12,1.5,,10,1,
Rifle,1,<Intuitive,,5,>Inverse,2d8,1613.438488895,,19-20,1.4,,x2,2.25,,,1,,,1,,15,2,,7,1,
Rifle,1,<Complete,,5,>Quadratic,1d4,24.8802079975,,19-20,1.4,,x3,3.375,,,1,,,1,,5,1,,8,1,
Rifle,1,<Godel's,,5,>Octant,1d6,47.2723951953,,19-20,1.4,,x2,2.25,,"+3 aim vs ""minion"" level characters",1.2,,,1,,5,1,,10,1,
Rifle,1,<Constructivist's,,5,>Platonic,2d4,123.80495,,19-20,1.4,,x2,2.25,,,1,,,1,,6,1.3,,12,1,
Rifle,1,<Fourier's,,5,>Complimentary,1d8,89.8175508711,,18-20,1.96,,x2,2.25,,Damage and environmental effects will never grant you a penelty when using this weapon.,2,<unflinching,,1,,6,1.3,,10,1,
Rifle,1,<Dirac's,,5,>Surd,1d10,170.653346655,,20,1,,x2,2.25,,,1,,-1 aim,0.9,<Skew,6,1.3,,14,1,
Rifle,1,<Turing's,,5,>Supplimentary,3d4,616.0585814246,,20,1,,x2,2.25,,,1,,-1 aim,0.9,<Truncated,8,1.3,,18,1,
Rifle,1,<Numerical,,5,>Perimeter,2d6,446.9358695,,20,1,,x3,3.375,,,1,,+1 aim,1.2,,8,1.3,,9,1,
Rifle,1,<Factorial,,5,>Cylinder,1d12,324.2413586445,,20,1,,x3,3.375,,,1,,+1 aim,1.2,,10,1.5,,8,1,
Rifle,1,<Fundemental,,5,>Calculus,3d6,4225.5458099912,,20,1,,x2,2.25,,,1,,+1 aim,1.2,,10,1.5,,10,1,
Rifle,1,<Irrational,,5,>Counter-example,2d8,1613.438488895,,19-20,1.4,,x2,2.25,,+1 aim,1.2,,,1,,10,1.5,,7,1,
Rifle,1,<Limit,,5,>Equivalence,1d4,24.8802079975,,19-20,1.4,,x3,3.375,,+1 aim,1.2,,,1,,12,1.5,,8,1,
Rifle,1,<Smoldering,,5,>Corollary,1d6,47.2723951953,,19-20,1.4,,x2,2.25,,+2 aim,1.8,<Smooth,,1,,15,2,,10,1,
Rifle,1,<Composite,,5,>Lemma,2d4,123.80495,,19-20,1.4,,x2,2.25,,,1,,+2 aim,1.8,<Scoped,5,1,,12,1,
