"Type";"TypePrice";"TypeName";"Price";"PricePrice";"PriceName";"Hit Dice";"DicePrice";"DiceName";"Crit Range";"CritRangePrice";"CritName";"Crit Multiplier";"CritXPrice";"Cname";"Special 1";"Sp1Price";"Sp1Name";"Special 2";"Sp2Price";"Sp2Name";"Aim Distance";"AimDistPrice";"AimName";"Max Distance";"MaxDistPrice";"MaxName"
"Shotgun";1;"<Rusty";;79;">Blunderbust";"1d6";28.3634371172;;"20";1;;"x2";1.96;;"Malfunctioning: Jams on attack rolls 3 or lower";0.85;"<Finnicky";"Once per day you can summon This weapon to your hand.";2.5;;1;1;;2;0.9;
"Shotgun";1;"<Prolific";;80;">Shotgun";"2d4";74.28297;;"20";1;;"x2";1.96;;;1;;"Malfunctioning: Jams on attack rolls 3 or lower";0.85;"<Defective";1;1;;2;0.9;
"Shotgun";1;"<Tarnished";;81;">Hotblood";"1d8";53.8905305226;;"20";1;;"x2";1.96;;"Malfunctioning: Jams on attack rolls 2 or lower";0.95;"<Gumpy";;1;;1;1;;2;0.9;
"Shotgun";1;"<Badlands";;82;">Gorebringer";"1d10";102.392007993;">Repeater";"20";1;;"x2";1.96;;;1;;"Well maintained- never breaks or jams.";1.1;">Dependable";1;1;;2;0.9;
"Shotgun";1;"<Bloodied";;83;">Widower";"3d4";369.6351488548;">Repeater";"19-20";1.4;;"x2";1.96;;"Well maintained- never breaks or jams.";1.1;"<Sturdy";;1;;1;1;;2;0.9;
"Shotgun";1;"<Unction";;84;">Junkshot";"2d6";268.1615217;;"19-20";1.4;;"x3";2.744;;;1;;"Well maintained- never breaks or jams.";1.1;"<Rugged";1;1;;2;0.9;
"Shotgun";1;"<Sandstorm";;85;">Magmatic";"1d12";194.5448151867;;"19-20";1.4;;"x3";2.744;;"Loyal: Can never be used by other characters";1.1;"<Territorial";;1;;1;1;;2;0.9;
"Shotgun";1;"<Socratic";;86;">Cocophany";"3d6";2535.3274859947;">Boar";"19-20";1.4;;"x1";1.4;;;1;;"Loyal: Can never be used by other characters";1.1;">Familiar";1;1;;2;0.9;
"Shotgun";1;"<The";;87;">handcannon";"2d8";968.063093337;">Sourpuss";"19-20";1.4;;"x1";1.4;;"On attack rolls 2 or lower YOU take the damage.";0.7;">Backfire";;1;;1;1;;1;0.5;
"Shotgun";1;"<The";;88;">Pigeionshot";"1d4";14.9281247985;;"19-20";1.4;;"x2";1.96;;"On attack rolls 4 or lower YOU take the damage.";0.4;"<Idiotic";;1;;1;1;;1;0.5;
"Shotgun";1;"<Stochastic";;79;">Rotisserie";"1d6";28.3634371172;;"20";1;;"x2";1.96;;"Damage reduction applies twice vs this weapon";0.8;"<Febble";;1;;1;1;;3;1;
"Shotgun";1;"<Blasphemous";;80;">Grillmaster";"2d4";74.28297;;"20";1;;"x2";1.96;;;1;;;1;;1;1;;3;1;
"Shotgun";1;"<Broadway";;81;">Charcoal";"1d8";53.8905305226;">Bangerang";"20";1;;"x2";1.96;;"Take a -2 penalty to defence vs AoO prompted by using this weapon";0.9;"<Jarring";;1;;1;1;;3;1;
"Shotgun";1;"<Rordnard";;82;">Marinade";"1d10";102.392007993;;"20";1;;"x2";1.96;;"Take a -2 penalty to defence vs AoO prompted by using this weapon";0.9;">Kickback";;1;;2;1.2;;3;1;
"Shotgun";1;"<Kostov";;83;">Chimmney";"3d4";369.6351488548;">Pulled pork";"19-20";1.4;;"x2";1.96;;;1;;;1;;2;1.2;;3;1;
"Shotgun";1;"<Electorial";;84;">Matchstick";"2d6";268.1615217;;"19-20";1.4;;"x3";2.744;;"Concealable";4;"<Dainty";;1;;2;1.2;;3;1;
"Shotgun";1;"<Governer's";;85;">Burner";"1d12";194.5448151867;;"19-20";1.4;;"x3";2.744;;;1;;"-1 aim";0.95;"<Crooked";2;1.2;;3;1;
"Shotgun";1;"<Thundersome";;86;">Lambshank";"3d6";2535.3274859947;;"19-20";1.4;;"x1";1.4;;"Works in all weather";1.02;"Enduring";;1;;2;1.2;;3;1;
"Shotgun";1;"<Harsh";;87;">Muttonchop";"2d8";968.063093337;;"19-20";1.4;"<Scoundrel's";"x1";1.4;"^Off milk";"This weapon can not be destroyed, and will never malfunction, break or jam.";1.2;"Indestructable";;1;;2;1.2;;3;1;
"Shotgun";1;"<Blunt";;88;">Ribeye";"1d4";14.9281247985;;"19-20";1.4;"<Swashbuckling";"x2";1.96;;;1;;;1;;2;1.2;;3;1;
"Shotgun";1;"<Grimey";;79;">Hotsauce";"1d6";28.3634371172;;"20";1;;"x2";1.96;;;1;;"Painful: triple all will saves prompted by this weapon.";1.3;"<Raw";2;1.2;;3;1;
"Shotgun";1;"<Firegaurd";;80;">Doge";"2d4";74.28297;;"20";1;;"x2";1.96;;;1;;;1;;0.5;0.9;;3;1;
"Shotgun";1;"<Feral";;81;">Philanthropist";"1d8";53.8905305226;;"20";1;;"x2";1.96;;;1;;;1;;0.5;0.9;;2;0.9;
"Shotgun";1;"<Miserly";;82;">Peacemaker";"1d10";102.392007993;;"20";1;;"x2";1.96;;;1;;;1;;0.5;0.9;;2;0.9;
"Shotgun";1;"<Grim";;83;">Cakebaster";"3d4";369.6351488548;;"19-20";1.4;;"x2";1.96;;;1;;;1;;1;1;;2;0.9;
"Shotgun";1;"<Bad";;84;">Cookiecutter";"2d6";268.1615217;;"19-20";1.4;;"x3";2.744;;;1;;;1;;1;1;;2;0.9;
"Shotgun";1;"<Coarse";;85;">Bottleopener";"1d12";194.5448151867;;"19-20";1.4;;"x3";2.744;;;1;;"-2 aim";0.7;">Imbalance";1;1;;2;0.9;
