"Template";1;2;3;4;5;6;7;8;9;10
"~RandomItem~";"~damagingItem~";;;;;;;;;
"~RandomItem~";"~damagingItem~";;;;;;;;;
"~damagingItem~";"~elementalItemName~ | ~DamageItemSpeed~2 * ~elementalItemDamage~2 * ~elementalItemArea~2 * ~elementalItemelement~2 *~elementalItemUses~2 * ~elementalItemSave~2  |  Activate~DamageItemSpeed~1 to deal ~elementalItemDamage~1 to ~elementalItemArea~1. ~elementalItemSave~1. This damage counts as ~elementalItemelement~1. ~elementalItemUses~1";;;;;;;;;
"~DamageItemSpeed~";"as a standard action, prompting attacks of opportunity.";1;;;;;;;;
"~DamageItemSpeed~";"As a standard action, prompting no attacks of opportunity.";1.1;;;;;;;;
"~DamageItemSpeed~";"As a full round, prompting attacks of opportunity. If you take damage activation fails";0.7;;;;;;;;
"~DamageItemSpeed~";"As a swift action during your turn (no AoO)";3;;;;;;;;
"~DamageItemSpeed~";"As an interupt action (can be used to make AoO)";10;;;;;;;;
"~DamageItemSpeed~";"At any time, in response to anything (including after seeing the results of another dice roll)";25;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~elementalItemDamage~";"2d4";1;;;;;;;;
"~elementalItemDamage~";"2d6";1.5;;;;;;;;
"~elementalItemDamage~";"3d4";1.55;;;;;;;;
"~elementalItemDamage~";"3d6";1.8;;;;;;;;
"~elementalItemDamage~";"2d8";1.7;;;;;;;;
"~elementalItemDamage~";"4d8";3.5;;;;;;;;
"~elementalItemDamage~";"4d12";8;;;;;;;;
"~elementalItemDamage~";"2d12";3;;;;;;;;
"~elementalItemDamage~";"1d12";1.5;;;;;;;;
"~elementalItemDamage~";"4d4";1.6;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~elementalItemArea~";"A single target within touching range.";1;"Hand of";"Proximal";"Fist bump";;;;;
"~elementalItemArea~";"A single target withinline of sight (5 meters)";4;"Selective";"Selective";"Bad Medicine";;;;;
"~elementalItemArea~";"A single target withinline of sight (15 meters)";8;"Pinpoint";"Pinpoint";"Across the room";;;;;
"~elementalItemArea~";"A single target withinline of sight (one Kilometer)";25;"Napoleonic";"Complimentary";"The evil eye";;;;;
"~elementalItemArea~";"Everyone (yourself included) within a 3 meter radius";8;"spiteful";"Detonation";"Fun bubble";;;;;
"~elementalItemArea~";"Everyone (yourself included) within a 8 meter radius";15;"Vengeful";"Explosion";"Ring of Retribution";;;;;
"~elementalItemArea~";"Everyone in a 5 meter beam eminating from you (straight line)";10;"Ray of";"Slice";"Shortest distance";;;;;
"~elementalItemArea~";"Everyone in a 3 meter beam eminating from you (straight line)";6;"Bolt of";"Lance";"``Greatsword’’";;;;;
"~elementalItemArea~";"Everyone in a 12 meter beam eminating from you (straight line)";25;"Column of";"Extended";"Corridor";;;;;
"~elementalItemArea~";"Everyone in a 100 meter beam eminating from you (straight line)";60;"Infinty";"Horizon cutter";"Pathcutter";;;;;
"~elementalItemArea~";"Any single target within one kilometer whom you know the name of.";100;"Loverletter of";"Vindictive";"Loverletter";;;;;
"~elementalItemArea~";"Everyone in a 3 square cone in front of you";6;"Horn of";"Radian";"Chimney Spout";;;;;
"~elementalItemArea~";"Everyone in a 8 square cone in front of you.";15;"Trumpet of";"Wedge";"The Lionmouth";;;;;
"~elementalItemArea~";"Everyone in a 5 square cone in front of you";11;"Cone of";"Blast";"Wafflecone";;;;;
"~elementalItemArea~";"everyone adjacent to you";4;"Hoop";"Halo";"Hoola Hoop";;;;;
"~elementalItemArea~";"Everyone in a circle around you (radius 2 squares)";6;"Ring of";"Circumfrence";"Glyph";;;;;
"~elementalItemArea~";"Everyone in a circle around you (radius 3 squares)";8;"Great circle Of";"Locus";"Eye of the storm";;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~elementalItemelement~";"fire damage.";1;"Larisa";"Ashmaker";"Inferno";"Pyre";"Charring";"Burner";"flames";
"~elementalItemelement~";"fire damage. Those who fail their save are now on fire (1d6 damage per round)";1.5;"Instant BBQ";"The Cauterizer";"Marshmellow Toaster";"Volcanic";"scroching";"Brimstone";"incineration";
"~elementalItemelement~";"ice damage";1;"Chill Winston";"Borealis";"Zero K";"Katabatic";"Wintery";"Ice";"Frost";
