"Template";1;2;3;4;5;6;7;8;9;10
;;;;;;;;;;
"~RandomItem~";"~ShipReserveItem~";;;;;;;;;
"~RandomItem~";"~ShipSystemUpgrade~";;;;;;;;;
"~RandomItem~";"~ShipSystemReplace~";;;;;;;;;
"~RandomItem~";"~ShipCustomisation~";;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~ShipReserveItem~";"Linker| 130 | You may expend this item as you clear stress from ~ShipSystem~. Remove all other stress cards of the same value (regardless of their position in the stack)";;;;;;;;;
"~ShipReserveItem~";"FailureFuse | 40 | The next time ~ShipSystem~ would lose stress tolerance (due to breakage), you may instead sacrifice the failure fuse.";;;;;;;;;
"~ShipReserveItem~";"Perfect Piece |~CardValue~2 | While in the Engine bay, you may expend this tool to remove the ~CardValue~1 of ~CardSuit~1 without using up any time. (You must still wait for your turn to use this)";;;;;;;;;
"~ShipReserveItem~";"Devil’s fire Rocket Fuel | 50 | Your pilot may expend this fuel while using thrust to gain +5 on their manuever roll. At the end of their turn, your engineer must draw a stress card, and if it is a spade, add it to the engine.";;;;;;;;;
"~ShipReserveItem~";"External Sensor Array | 60 | A pile of junky external sensors. Can be dumped onto the battlefield (By your systems Hub) in order to grant a +4 perception bonus to your Coms center for the rest of the battle.";;;;;;;;;
;;;;;;;;;;
"~ShipReserveItem~";"Additional Air | 200 | If your Life support goes down, your systems hub may expend this item to buy your crew an additional two turns (Doing so uses their turn) ";;;;;;;;;
"~ShipReserveItem~";"Power cells | 500 | Your systems hub may expend this item to gain an additional 4 power for one turn.";;;;;;;;;
"~ShipReserveItem~";"St.Christopher Totem | 800 | Kept on the pilots Desk. May be expended in response to any card draw or dice roll anywhere on the ship to force an instant redraw/reroll of that dice/card.";;;;;;;;;
"~ShipReserveItem~";"St.Christopher amulet | 250 | Worn by any single player. During ship combat, may be expended in response to any card draw or dice roll in the same room as the wearer to force an instant redraw/reroll of that dice/card.";;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~ShipSystem~";"Life Support";;;;;;;;;
"~ShipSystem~";"Power";;;;;;;;;
"~ShipSystem~";"Engines";;;;;;;;;
"~ShipSystem~";"Ships Computers";;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~CardValue~";"Ace";40;;;;;;;;
"~CardValue~";"two";60;;;;;;;;
"~CardValue~";"three";80;;;;;;;;
"~CardValue~";"four";100;;;;;;;;
"~CardValue~";"five";120;;;;;;;;
"~CardValue~";"six";140;;;;;;;;
"~CardValue~";"seven";160;;;;;;;;
"~CardValue~";"eight";180;;;;;;;;
"~CardValue~";"nine";200;;;;;;;;
"~CardValue~";"ten";220;;;;;;;;
"~CardValue~";"Jack";40;;;;;;;;
"~CardValue~";"Queen";40;;;;;;;;
"~CardValue~";"King";40;;;;;;;;
;;;;;;;;;;
"~CardSuit~";"hearts";;;;;;;;;
"~CardSuit~";"spades";;;;;;;;;
"~CardSuit~";"clubs";;;;;;;;;
"~CardSuit~";"diamonds";;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~ShipSystemUpgrade~";"~ShipSystem~  upgrade | ~UpgradeAmount~2 * ~UpgradeMax~2  | Increase your ~ShipSystem~  stress tolerance by ~UpgradeAmount~1, up to a maximum of ~UpgradeMax~1";;;;;;;;;
;;;;;;;;;;
"~UpgradeAmount~";1;100;;;;;;;;
"~UpgradeAmount~";1;100;;;;;;;;
"~UpgradeAmount~";1;100;;;;;;;;
"~UpgradeAmount~";1;100;;;;;;;;
"~UpgradeAmount~";2;200;;;;;;;;
"~UpgradeAmount~";3;450;;;;;;;;
"~UpgradeAmount~";2;200;;;;;;;;
"~UpgradeAmount~";3;450;;;;;;;;
"~UpgradeAmount~";5;1000;;;;;;;;
;;;;;;;;;;
"~UpgradeMax~";20;0.8;;;;;;;;
"~UpgradeMax~";20;0.8;;;;;;;;
"~UpgradeMax~";25;1;;;;;;;;
"~UpgradeMax~";25;1;;;;;;;;
"~UpgradeMax~";25;1;;;;;;;;
"~UpgradeMax~";30;3;;;;;;;;
"~UpgradeMax~";30;3;;;;;;;;
"~UpgradeMax~";30;3;;;;;;;;
"~UpgradeMax~";35;8;;;;;;;;
"~UpgradeMax~";35;8;;;;;;;;
"~UpgradeMax~";40;30;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~ShipSystemReplace~";"~ShipLifeSupportReplaceName~ | ~FreshStressTolerance~2*~LifeSystemSpecial~2 | A fresh replacement Life support system. Stress Tolerance ~FreshStressTolerance~1 . ~LifeSystemSpecial~1";;;;;;;;;
"~ShipSystemReplace~";"~ShipCompReplaceName~ | ~FreshStressTolerance~2*~CompSystemSpecial~2 | A fresh replacement Computer system. Stress Tolerance ~FreshStressTolerance~1 . ~CompSystemSpecial~1";;;;;;;;;
"~ShipSystemReplace~";"~ShipPowerReplaceName~ | ~Powerlevel~2*~FreshStressTolerance~2*~PowerSystemSpecial~2 | A replacement ships power core. Stress Tolerance ~FreshStressTolerance~1 . Produces ~Powerlevel~1 Units of power. ~PowerSystemSpecial~1";;;;;;;;;
"~ShipSystemReplace~";"~ShipEngineReplaceName~ | ~FreshStressTolerance~2*~EngineSystemSpecial~2 | A Replacement Engine system for a ship. Stress Tolerance ~FreshStressTolerance~1 . ~EngineSystemSpecial~1";;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~FreshStressTolerance~";16;500;;;;;;;;
"~FreshStressTolerance~";18;700;;;;;;;;
"~FreshStressTolerance~";20;1000;;;;;;;;
"~FreshStressTolerance~";20;1050;;;;;;;;
"~FreshStressTolerance~";23;1200;;;;;;;;
"~FreshStressTolerance~";25;2000;;;;;;;;
"~FreshStressTolerance~";26;2400;;;;;;;;
"~FreshStressTolerance~";27;2800;;;;;;;;
"~FreshStressTolerance~";28;3500;;;;;;;;
"~FreshStressTolerance~";30;4500;;;;;;;;
"~FreshStressTolerance~";30;4500;;;;;;;;
"~FreshStressTolerance~";30;4500;;;;;;;;
"~FreshStressTolerance~";32;5200;;;;;;;;
"~FreshStressTolerance~";35;8000;;;;;;;;
"~LifeSystemSpecial~";;1;;;;;;;;
"~LifeSystemSpecial~";;1;;;;;;;;
"~LifeSystemSpecial~";;1;;;;;;;;
"~LifeSystemSpecial~";;1;;;;;;;;
"~LifeSystemSpecial~";;1;;;;;;;;
"~LifeSystemSpecial~";"System recovers twice as quickly once back on line (IE, you recover two points worth of environment whenever this is online)";1.2;;;;;;;;
"~LifeSystemSpecial~";"Ship automatically clears all poisonous gases from all rooms at all times.";1.2;;;;;;;;
"~LifeSystemSpecial~";"Gain a +2 bonus to all Gardening checks made for Resident Hearthoak seeds on the ship.";1.2;;;;;;;;
"~LifeSystemSpecial~";"Gain a +2 bonus on all medical checks made within your ship, +4 within the medical bay.";1.5;;;;;;;;
"~LifeSystemSpecial~";"~GeneralSystemBonus~1";"~GeneralSystemBonus~2";;;;;;;;
"~LifeSystemSpecial~";"~GeneralSystemBonus~1";"~GeneralSystemBonus~2";;;;;;;;
"~LifeSystemSpecial~";"Deep Space: This power supply is designed to run indefinitely, even during the long voyages of deep intersteller space.";3;;;;;;;;
;;;;;;;;;;
"~ShipLifeSupportReplaceName~";"Eden Life Support system";;;;;;;;;
"~ShipLifeSupportReplaceName~";"Oasis Life Support";;;;;;;;;
"~ShipLifeSupportReplaceName~";"Human Habitat Colonial LifeSupport";;;;;;;;;
"~ShipLifeSupportReplaceName~";"``Terrarium’’ ";;;;;;;;;
"~ShipLifeSupportReplaceName~";"``Heart and Lungs’’ Ship life support";;;;;;;;;
"~ShipLifeSupportReplaceName~";"CradleKeeper Life Support";;;;;;;;;
"~ShipLifeSupportReplaceName~";"Custom issue Life support";;;;;;;;;
"~ShipLifeSupportReplaceName~";"CHON Life system";;;;;;;;;
"~ShipLifeSupportReplaceName~";"``Homeostasis’’ Life Support engine.";;;;;;;;;
"~ShipLifeSupportReplaceName~";"``Vitality’’ Life support engine";;;;;;;;;
"~ShipLifeSupportReplaceName~";"``Noah’s arc’’ Life support";;;;;;;;;
"~ShipLifeSupportReplaceName~";"``Corinth’’ Life support";;;;;;;;;
"~ShipLifeSupportReplaceName~";"Nine Gardens Farm ship core";;;;;;;;;
"~ShipLifeSupportReplaceName~";"``Hiroko’’ Life Support";;;;;;;;;
"~ShipLifeSupportReplaceName~";"``Heatmender’’ Life support system.";;;;;;;;;
;;;;;;;;;;
"~GeneralSystemBonus~";"``Second hand’’ : You get the feeling this system had a previous owner. You get the feeling they might want it back.";0.8;;;;;;;;
"~GeneralSystemBonus~";"System can be safely reset as soon as stress is reduced to just one card (Regardless of the cards value)";2;;;;;;;;
"~GeneralSystemBonus~";"Fragile system. Whenever this system breaks, it loses TWO points of stress tolerance.";0.9;;;;;;;;
"~GeneralSystemBonus~";"Bug Free: all Jacks dealt to this system are immediately discarded.";1.2;;;;;;;;
"~GeneralSystemBonus~";"Safety Dampening: If this card is dealt multiple stress cards in the same turn, discard the lowest valued card.";2.5;;;;;;;;
"~GeneralSystemBonus~";"Finicky. The Engineering checks to remove cards from this system are 3 higher than usual.";0.9;;;;;;;;
"~GeneralSystemBonus~";"Finicky as all heck. The Engineering checks to remove cards from this system are 8 higher than usual.";0.75;;;;;;;;
"~GeneralSystemBonus~";"Blackmarket: You must have ``Blackmarket Contacts’’ In order to purchase this item. ~GeneralSystemBonus";0.7;;;;;;;;
"~CompSystemSpecial~";;1;;;;;;;;
"~CompSystemSpecial~";;1;;;;;;;;
"~CompSystemSpecial~";;1;;;;;;;;
"~CompSystemSpecial~";;1;;;;;;;;
"~CompSystemSpecial~";"Improved Targeting computer: Your artillerly and point defence gain a +2 bonus on all attack rolls while this system is online.";1.5;;;;;;;;
"~CompSystemSpecial~";"Panoptican Sensor Array: Your communications officier gains a +2 bonus on Perception checks when using this system.";1.2;;;;;;;;
"~CompSystemSpecial~";"Mandlebrot Encryption: Gain a +5 on computing checks used to send encrypted Messeges";1.2;;;;;;;;
"~CompSystemSpecial~";"Hardened Electronics: If your system is hit by a EMP, or similar external damage, your Computers have a 50% chance of being uneffected.";1.5;;;;;;;;
"~CompSystemSpecial~";"~GeneralSystemBonus~1";"~GeneralSystemBonus~2";;;;;;;;
"~CompSystemSpecial~";"~GeneralSystemBonus~1";"~GeneralSystemBonus~2";;;;;;;;
"~CompSystemSpecial~";"``The Globe’’ Media hub: Gain +2 on all social checks made through the communcations center of your ship.";1.8;;;;;;;;
"~CompSystemSpecial~";"``Sacred ground’’: the DC on all computing checks made to hack or otherwise infiltrate your system goes up by 10 ";1.5;;;;;;;;
"~CompSystemSpecial~";"``Alexandria’’: Your ship now contains an electronic library. Gain a +1 bonus on all research checks to use this library.";1.3;;;;;;;;
"~CompSystemSpecial~";"HAL: This computer system is possesed by a questionably helpful AI, which will definitely not turn on you.";0.3;;;;;;;;
;;;;;;;;;;
"~ShipCompReplaceName~";"ENIGMA Ships Computer";;;;;;;;;
"~ShipCompReplaceName~";"Xenus Ships Computer";;;;;;;;;
"~ShipCompReplaceName~";"MegieTech Ships Computer";;;;;;;;;
"~ShipCompReplaceName~";"``Polaris’’ Ships computer";;;;;;;;;
"~ShipCompReplaceName~";"``Helmsman’’ Ship computer";;;;;;;;;
"~ShipCompReplaceName~";"``Dead Reckoning’’ Ships computer";;;;;;;;;
"~ShipCompReplaceName~";"``Mavarick’’ Ships computer";;;;;;;;;
"~ShipCompReplaceName~";"``Turing’’ Ships Computer";;;;;;;;;
"~ShipCompReplaceName~";"``Taxanomic’’ Ships computer";;;;;;;;;
"~ShipCompReplaceName~";"``Plato’’ Ships computer";;;;;;;;;
"~ShipCompReplaceName~";"``Thoughtlens’’ Ships computer";;;;;;;;;
"~ShipCompReplaceName~";"``Velocity Terminal’’ Ships computer";;;;;;;;;
"~ShipCompReplaceName~";"``Ambrosia’’ Ships computer";;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~PowerSystemSpecial~";;1;;;;;;;;
