"Template";1;2;3;4;5;6;7;8;9;10
"~RandomItem~";"~ArmourTemplate~";;;;;;;;;
"~RandomItem~";"~ShieldTemplate~";;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~ArmourTemplate~";"~LightArmourName~1 | 50*~DamResist~2 * ~DamResType~2 * ~ArmourSkillPenalty~2 | Light armour. Grants ~DamResist~1 vs all ~DamResType~1. ~ArmourSkillPenalty~1";;;;;;;;;
"~ArmourTemplate~";"~HeavyArmourName~1 | 50*~DamResist~5 * ~DamResType~5 * ~ArmourSkillPenalty~5 | Heavy Armour. Grants ~DamResist~4 vs all ~DamResType~4. ~ArmourSkillPenalty~4";;;;;;;;;
;;;;;;;;;;
"~DamResist~";"+1 Damage Resistance";1;;"+3 Damage Resistance";9;;;;;
"~DamResist~";"+1 Damage Resistance";1;;"+3 Damage Resistance";9;;;;;
"~DamResist~";"+1 Damage Resistance";1;;"+3 Damage Resistance";9;;;;;
"~DamResist~";"+1 Damage Resistance";1;;"+3 Damage Resistance";9;;;;;
"~DamResist~";"+2 Damage Resistance";4;;"+5 Damage Resistance";25;;;;;
"~DamResist~";"+2 Damage Resistance";4;;"+5 Damage Resistance";25;;;;;
"~DamResist~";"+3 Damage Resistance";9;;"+8 Damage Resistance";64;;;;;
"~DamResist~";"+2 Damage Resistance";4;;"+10 Damage Resistance";100;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~DamResType~";"Incoming elemental damage (Fire, ice, radiation, acid)";2;"Hazmat";"Incoming elemental damage (Fire, ice, radiation, acid)";2;;;;;
"~DamResType~";"Incoming bullet damage.";3;"Bulletproof";"All weapon damage";6;;;;;
"~DamResType~";"Incoming bullet damage.";3;"Bulletproof";"All weapon damage";6;;;;;
"~DamResType~";"Incoming slashing and piercing damage";2;"Slashproof";"area effect damage";1;;;;;
"~DamResType~";"Incoming slashing and piercing damage";2;"Clawproof";"area effect damage";1;;;;;
"~DamResType~";"area effect damage";1;"Shrapnel";"incoming damage";9;;;;;
"~DamResType~";"bludgeoning damage";2;"Padded";"incoming damage";9.5;;;;;
"~DamResType~";"incoming damage";10;"Protective";"incoming damage";10;;;;;
;;;;;;;;;;
"~ArmourSkillPenalty~";" A soft flexible material allows for easy movement";4;;"You move at half speed while wearing this garment, and take a -5 penalty on all physical skill checks  and reflex saves.";0.2;;;;;
"~ArmourSkillPenalty~";"The Wearer of this armour gains +1 on command checks";5;;"While wearing this garment take a -3 penalty on all physical skill checks. -5 on agility and stealth  and reflex saves.";0.5;;;;;
"~ArmourSkillPenalty~";"Stiff armor Grants a -2 penalty to Acrobatics and Squrim.";2;;"This light mech suit must be attached to a large external power source (Such as a station) at all times. Once it loses power, you will be immobilized after one full combat round. (You may enter and exit the suit even when it is immobilised).";0.2;;;;;
"~ArmourSkillPenalty~";"Noisy armour grants a -2 penalty to Stealth checks.";2;;"While wearing this garment take a -6 penalty on all physical skill checks. -10 on agility and stealth  and reflex saves.";0.2;;;;;
"~ArmourSkillPenalty~";"Wearer takes a -2 penalty to Stealth, Acrobatics, squirm, and piloting.";1;;"This armour is powered by a very small nuclear reactor. It grants +4 strength and endurance, -4 stealth, squirm and agility  and reflex saves... but if it becomes damaged, it is liable to overload in an unsafe manner for everyone nearby (especially you)";0.3;;;;;
"~ArmourSkillPenalty~";" A soft flexible material allows for easy movement";4;;"You move at half speed while wearing this garment, and take a -5 penalty on all physical skill checks  and reflex saves. If you get knocked over, you will need a winch, or some other form of assistance to get back up again.";0.16;;;;;
"~ArmourSkillPenalty~";"Stiff armor Grants a -2 penalty to Acrobatics and Squrim.";2;;"You move at half speed while wearing this garment, and take a -4 penalty on all physical skill checks and reflex saves. You may not use interupt actions.";0.3;;;;;
"~ArmourSkillPenalty~";"Noisy armour grants a -2 penalty to Stealth checks.";2;;"While wearing this garment,  take a -8 penalty on all physical skill checks  and reflex saves, and -4 to perception checks.";0.15;;;;;
"~ArmourSkillPenalty~";"Wearer takes a -2 penalty to Stealth, Acrobatics, squirm, and piloting.";1;;"You have a maximum speed of one meter per round while wearing this armour, and take -12 to all physical skill checks and all reflex saves. You can not make attacks of opportunity.";0.05;;;;;
"~ArmourSkillPenalty~";"Large Armour. Wearer takes a -2 penalty to Stealth, Acrobatics, squirm, and piloting, unless they are a jotunn.";2;;;;;;;;
;;;;;;;;;;
"~LightArmourName~";"~LightArmourWord~1 ~QQLightArmourNumber~1";;;;;;;;;
"~LightArmourName~";"~QQLightArmourNumber~1  ~LightArmourWord~2 ";;;;;;;;;
"~LightArmourName~";"~DamResType~2 ~LightArmourClothType~";;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~LightArmourClothType~";"vest";;;;;;;;;
"~LightArmourClothType~";"vest";;;;;;;;;
"~LightArmourClothType~";"bodysuit";;;;;;;;;
"~LightArmourClothType~";"underlayer";;;;;;;;;
"~LightArmourClothType~";"armour";;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~LightArmourWord~";"Rordnard";"bodygaurd";;;;;;;;
"~LightArmourWord~";"Spartan";"Bulwark";;;;;;;;
"~LightArmourWord~";"Jericho";"Ivory";;;;;;;;
"~LightArmourWord~";"Xuo";"Impudent";;;;;;;;
"~LightArmourWord~";"Sentinel";"Golem";;;;;;;;
"~LightArmourWord~";"LifeKeeper";"Barbary";;;;;;;;
"~LightArmourWord~";"Valkyrie";"Strongman";;;;;;;;
;;;;;;;;;;
"~QQLightArmourNumber~";"3K-~QQLightArmourNumber~";;;;;;;;;
"~QQLightArmourNumber~";"988-~QQLightArmourNumber~";;;;;;;;;
"~QQLightArmourNumber~";"R35-~QQLightArmourNumber~";;;;;;;;;
"~QQLightArmourNumber~";"2K-~QQLightArmourNumber~";;;;;;;;;
"~QQLightArmourNumber~";"664-~QQLightArmourNumber~";;;;;;;;;
"~QQLightArmourNumber~";"QM77-~QQLightArmourNumber~";;;;;;;;;
"~QQLightArmourNumber~";"405-~QQLightArmourNumber~";;;;;;;;;
"~QQLightArmourNumber~";"42-~QQLightArmourNumber~";;;;;;;;;
"~QQLightArmourNumber~";"HRB-~QQLightArmourNumber~";;;;;;;;;
"~QQLightArmourNumber~";"J5X - ~QQLightArmourNumber~";;;;;;;;;
"~QQLightArmourNumber~";"Elo-~QQLightArmourNumber~";;;;;;;;;
"~QQLightArmourNumber~";"XL-~QQLightArmourNumber~";;;;;;;;;
"~QQLightArmourNumber~";"XL";;;;;;;;;
"~QQLightArmourNumber~";"dr7";;;;;;;;;
"~QQLightArmourNumber~";142;;;;;;;;;
"~QQLightArmourNumber~";76;;;;;;;;;
"~QQLightArmourNumber~";"PP12";;;;;;;;;
"~QQLightArmourNumber~";"A#8";;;;;;;;;
"~QQLightArmourNumber~";"99D";;;;;;;;;
"~QQLightArmourNumber~";115;;;;;;;;;
"~QQLightArmourNumber~";7.4;;;;;;;;;
"~QQLightArmourNumber~";"D.U.V.";;;;;;;;;
"~QQLightArmourNumber~";88;;;;;;;;;
"~QQLightArmourNumber~";"One";;;;;;;;;
"~QQLightArmourNumber~";8765;;;;;;;;;
"~QQLightArmourNumber~";390;;;;;;;;;
"~QQLightArmourNumber~";540;;;;;;;;;
"~QQLightArmourNumber~";"726R";;;;;;;;;
;;;;;;;;;;
"~HeavyArmourWord~";"Rordnard";;;;;;;;;
"~HeavyArmourWord~";"Sabletech";;;;;;;;;
"~HeavyArmourWord~";"Dragonhide";;;;;;;;;
"~HeavyArmourWord~";;;;;;;;;;
"~HeavyArmourWord~";;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~HeavyArmourName~";"~HeavyArmourWord~2 ~QQLightArmourNumber~";;;;;;;;;
;;;;;;;;;;
"~ShieldTemplate~";"~LongShieldName~ | 100*~LongShieldPower~2 * ~LongShieldEffect~2*~LongShieldDuration~2 | ~LongShieldDescribe~. ~LongShieldDuration~1 ~LongShieldPower~1 ~LongShieldEffect~1";;;;;;;;;
"~LongShieldPower~";"+1";1;;;;;;;;
"~LongShieldPower~";"+1";1;;;;;;;;
"~LongShieldPower~";"+1";1;;;;;;;;
"~LongShieldPower~";"+2";8;;;;;;;;
"~LongShieldPower~";"+2";8;;;;;;;;
"~LongShieldPower~";"+3";27;;;;;;;;
;;;;;;;;;;
"~LongShieldEffect~";"defence vs incoming bullet damage";2;;;;;;;;
"~LongShieldEffect~";"defence vs incoming bullet damage";2;;;;;;;;
"~LongShieldEffect~";"On saving throws vs elemental damage (Fire, acid, etc)";2;;;;;;;;
"~LongShieldEffect~";"On saving throws vs elemental damage (Fire, acid, etc)";2;;;;;;;;
"~LongShieldEffect~";"Defence vs all incoming attacks.";4;;;;;;;;
;;;;;;;;;;
"~LongShieldDuration~";"You gain a permanent";2;;;;;;;;
"~LongShieldDuration~";"You gain a permanent";2;;;;;;;;
"~LongShieldDuration~";"For ten minutes per day (one battle) you gain";1;;;;;;;;
"~LongShieldDuration~";"For ten minutes per day (one battle) you gain";1;;;;;;;;
;;;;;;;;;;
"~LongShieldDescribe~";"A ~LongShieldAction~ ~LongShieldColor~ ~LongShieldPhrase~";;;;;;;;;
;;;;;;;;;;
"~LongShieldAction~";"shimmering";;;;;;;;;
"~LongShieldAction~";"gently humming";;;;;;;;;
"~LongShieldAction~";"barely visible";;;;;;;;;
"~LongShieldAction~";"glowing";;;;;;;;;
"~LongShieldAction~";;;;;;;;;;
;;;;;;;;;;
"~LongShieldColor~";;;;;;;;;;
"~LongShieldColor~";"yellow";;;;;;;;;
"~LongShieldColor~";"amber";;;;;;;;;
"~LongShieldColor~";"turquise";;;;;;;;;
"~LongShieldColor~";"lavender";;;;;;;;;
"~LongShieldColor~";"transluscent";;;;;;;;;
"~LongShieldColor~";"opalescent";;;;;;;;;
;;;;;;;;;;
"~LongShieldPhrase~";"personal force field";;;;;;;;;
"~LongShieldPhrase~";"personal shield";;;;;;;;;
"~LongShieldPhrase~";"projective surface, hovering just above the wearers skin";;;;;;;;;
"~LongShieldPhrase~";"deflective shield";;;;;;;;;
"~LongShieldPhrase~";"combat forcefield";;;;;;;;;
