Template;1;2;3;4;5;6;7;8;9;10
;;;;;;;;;;
;;;;;;;;;;
~DodgyDeed~;Factory Property. | ~PreReassure~2 * ~RealEstateFactory~2* ~RealEstateFactoryLocation~2 * ~PostReassureFactory~2    |  ~DeedIntro~ for a ~PreReassure~ ~RealEstateFactory~ ~RealEstateFactoryLocation~. ~PostReassureFactory~;;;;;;;;;
~DodgyDeed~;Civilian Property | ~PreReassure~2 * ~RealEstateHouse~2* ~RealEstateHouseLocation~2* ~PostReassureHouse~2 |  ~DeedIntro~ for a ~PreReassure~ ~RealEstateHouse~ ~RealEstateHouseLocation~. ~PostReassureHouse~;;;;;;;;;
~DodgyDeed~;Ship for sale | ~PreReassure~2*~RealEstateShip~2*~PostReassureShip~2 | ~DeedIntro~ for a ~PreReassure~ ~RealEstateShip~. ~PostReassureShip~;;;;;;;;;
;;;;;;;;;;
~DeedIntro~;Keys, codes and coordinates;1;;;;;;;;
~DeedIntro~;Deed and title;1;;;;;;;;
~DeedIntro~;Ownership papers and registration information ;1;;;;;;;;
~DeedIntro~;Access codes and authorisation;1;;;;;;;;
;;;;;;;;;;
~PreReassure~;;1;;;;;;;;
~PreReassure~;;1;;;;;;;;
~PreReassure~;;1;;;;;;;;
~PreReassure~;totally legitimate;0.5;;;;;;;;
~PreReassure~;perfectly safe;0.7;;;;;;;;
~PreReassure~;well maintained;1;;;;;;;;
~PreReassure~;defintely not cursed;0.8;;;;;;;;
~PreReassure~;strategically placed;4;;;;;;;;
;;;;;;;;;;
~RealEstateFactory~;Biolab;1;;;;;;;;
~RealEstateFactory~;Robotics lab;1;;;;;;;;
~RealEstateFactory~;Exhuasted gold seam;1;;;;;;;;
~RealEstateFactory~;Exhuasted Uranium mine;1;;;;;;;;
~RealEstateFactory~;Copper mine;1;;;;;;;;
~RealEstateFactory~;Construction hanger;1;;;;;;;;
~RealEstateFactory~;Hidden Refuge;1;;;;;;;;
~RealEstateFactory~;Sealed Habitat;1;;;;;;;;
~RealEstateFactory~;toy factory;1;;;;;;;;
~RealEstateFactory~;Chemical Plant;1;;;;;;;;
~RealEstateFactory~;Nuclear power station.;1;;;;;;;;
~RealEstateFactory~;Archeological site.;1;;;;;;;;
~RealEstateFactory~;Cave Sysem.;1;;;;;;;;
~RealEstateFactory~;Nuclear Bunker;1;;;;;;;;
~RealEstateFactory~;Extraction Site;1;;;;;;;;
;;;;;;;;;;
~RealEstateFactoryLocation~;located in comfortable asteroid (coordinates on purchase).;1;;;;;;;;
~RealEstateFactoryLocation~;deep beneath the southern ocean.;1;;;;;;;;
~RealEstateFactoryLocation~;located on Zavis, moon of Kaal.;1;;;;;;;;
~RealEstateFactoryLocation~;located on Xin, moon of Kaal.;1;;;;;;;;
~RealEstateFactoryLocation~;in the Labrinth Planum.;1;;;;;;;;
~RealEstateFactoryLocation~;beneath Northern ice cap.;1;;;;;;;;
~RealEstateFactoryLocation~;Last seen orbiting Malan;1;;;;;;;;
~RealEstateFactoryLocation~;Near the peak of Faratiu Koer.;1;;;;;;;;
~RealEstateFactoryLocation~;70 Kms south of Anchorage.;1;;;;;;;;
;;;;;;;;;;
