"Template";1;2;3;4;5;6;7;8;9;10
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~RandomItem~";"~ProvisionsTemplate~";;;;;;;;;
"~RandomItem~";"~BasicKit~";;;;;;;;;
"~RandomItem~";"~UniqueBasic~";;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~ProvisionsTemplate~";"Provisions |~QQProvisionsFragment~1 | ~QQProvisionsFragment~3,~QQProvisionsFragment~4 and ~QQProvisionsFragment~5. Enough food for ~QQProvisionsFragment~2.";;;;;;;;;
;;;;;;;;;;
"~ProvisionsTemplate~";"Provisions |~QQProvisionsFragment~1. |~QQProvisionsFragment~2 worth of ~QQProvisionsFragment~3,~QQProvisionsFragment~4 and ~QQProvisionsFragment~5.";;;;;;;;;
"~ProvisionsTemplate~";"Provisions |~QQProvisionsFragment~1*2 | ~ProvisionsSpecial~1, QQProvisionsFragment~3,~QQProvisionsFragment~4 and ~QQProvisionsFragment~5. ~ProvisionsSpecial~2. Enough supplies for ~QQProvisionsFragment~2";;;;;;;;;
"~QQProvisionsFragment~";25;"Twelve days worth";"Rice";"Dried fruit";"spiced meat";;;;;
"~QQProvisionsFragment~";30;"two weeks worth";"beans";"pinenuts";"Vitamin powders";;;;;
"~QQProvisionsFragment~";22;"half a months";"lentils";"honeycakes";"oats";;;;;
"~QQProvisionsFragment~";28;"An expeditions";"Dried pasta";"rasinmix";"hard cheese";;;;;
"~QQProvisionsFragment~";33;"A short voyage";"seaweed powder";"muesli";"smoked fish";;;;;
"~ProvisionsSpecial~";"Water purification tablets";"Perfect for travel in regions with abundent water of questionable quality";;;;;;;;
"~ProvisionsSpecial~";"Desalination tablets";"Perfect for voyages over the ocean.";;;;;;;;
"~ProvisionsSpecial~";"Rad Tabs";"+2 fortitude vs radiation on every day you eat these.";;;;;;;;
"~ProvisionsSpecial~";"Fireheart mead";"+2 fortitude vs cold and hypothermia on any day you eat this.";;;;;;;;
"~ProvisionsSpecial~";"Caffine shots";"+2 will vs exhaustion/falling asleep on any day you've drunk these.";;;;;;;;
"~ProvisionsSpecial~";"Bug repellant";"Mundane insects will leave you be for the day. Non-mundane insects must make a DC 10 will save to interact with you.";;;;;;;;
"~ProvisionsSpecial~";"Star candy";"With the power of Star Candy no one will stand in your way!";;;;;;;;
"~ProvisionsSpecial~";"Choclate";"+2 on will saves vs depression and melencholia, as long as choclate remains part of your diet.";;;;;;;;
"~ProvisionsSpecial~";"Various spices";"“A man can live on packaged food from here ’til Judgment Day if he’s got enough rosemary.”";;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
"~ProvisionsTemplate~";"Rope.|~RopeLength~2*~RopeQuality~2 | ~RopeLength~1 of ~RopeQuality~1.";;;;;;;;;
;;;;;;;;;;
"~RopeLength~";"5 meters";5;;;;;;;;
"~RopeLength~";"10 meters";10;;;;;;;;
"~RopeLength~";"15 meters";15;;;;;;;;
"~RopeLength~";"30 meters";30;;;;;;;;
"~RopeLength~";"60 meters";60;;;;;;;;
