Template;1;2;3;4;5;6;7;8;9;10
~NovelCost~;40;;;;;;;;;
~NovelCost~;46;;;;;;;;;
~NovelCost~;18;;;;;;;;;
~NovelCost~;22;;;;;;;;;
~NovelCost~;43;;;;;;;;;
~NovelCost~;26;;;;;;;;;
~NovelCost~;37;;;;;;;;;
~NovelCost~;25;;;;;;;;;
~NovelCost~;29;;;;;;;;;
;;;;;;;;;;
~RandAuthor~;~NovelLetter~.~NovelLetter~. ~NovelLastName~1;;;;;;;;;
~RandAuthor~;~NovelLetter~. ~NovelLastName~2;;;;;;;;;
~RandAuthor~;~NoveFirstName~1 ~NovelLastName~3;;;;;;;;;
~RandAuthor~;~NoveFirstName~2 ~NovelLetter~;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
~NovelLetter~;Q;;;;;;;;;
~NovelLetter~;W;;;;;;;;;
~NovelLetter~;E;;;;;;;;;
~NovelLetter~;R;;;;;;;;;
~NovelLetter~;T;;;;;;;;;
~NovelLetter~;Y;;;;;;;;;
~NovelLetter~;U;;;;;;;;;
~NovelLetter~;I;;;;;;;;;
~NovelLetter~;O;;;;;;;;;
~NovelLetter~;P;;;;;;;;;
~NovelLetter~;L;;;;;;;;;
~NovelLetter~;K;;;;;;;;;
~NovelLetter~;J;;;;;;;;;
~NovelLetter~;H;;;;;;;;;
~NovelLetter~;G;;;;;;;;;
~NovelLetter~;F;;;;;;;;;
~NovelLetter~;D;;;;;;;;;
~NovelLetter~;S;;;;;;;;;
~NovelLetter~;A;;;;;;;;;
~NovelLetter~;Z;;;;;;;;;
~NovelLetter~;X;;;;;;;;;
~NovelLetter~;C;;;;;;;;;
~NovelLetter~;V;;;;;;;;;
~NovelLetter~;B;;;;;;;;;
~NovelLetter~;N;;;;;;;;;
~NovelLetter~;M;;;;;;;;;
;;;;;;;;;;
~NovelLastName~;Augustine;Needham;Mistrel;;;;;;;
~NovelLastName~;Ross;Iverson;Lawless;;;;;;;
~NovelLastName~;Robinson;Liu;Norwood;;;;;;;
~NovelLastName~;Haynes;Greenway;Etheridge;;;;;;;
~NovelLastName~;Katz;Saavedra;Black;;;;;;;
~NovelLastName~;Gillespie;Bradford;Turner;;;;;;;
~NovelLastName~;Urbina;Thibodeaux;Irizarry;;;;;;;
~NovelLastName~;Wu;Nickerson;Higginbotham;;;;;;;
~NovelLastName~;Yazzie;Lowe;Spellman;;;;;;;
~NovelLastName~;Zook;Hwang;Bozeman;;;;;;;
~NovelLastName~;Finnegan;Granados;Gilchrist;;;;;;;
~NovelLastName~;Granados;Eldridge;Quezada;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
~NoveFirstName~;Erasmo;Antonietta;;;;;;;;
~NoveFirstName~;Alexander;Ernest;;;;;;;;
~NoveFirstName~;Patrick;Azalee;;;;;;;;
~NoveFirstName~;Vererna;Tuan;;;;;;;;
~NoveFirstName~;Tobias;Berneice;;;;;;;;
~NoveFirstName~;Bok;Wyatt;;;;;;;;
~NoveFirstName~;Yong;Monique ;;;;;;;;
~NoveFirstName~;Desirae;Cortez;;;;;;;;
~NoveFirstName~;Kendrick;Ghislaine;;;;;;;;
~NoveFirstName~;Jummy;Azden;;;;;;;;
~NoveFirstName~;Frederick;Olga;;;;;;;;
~NoveFirstName~;Yi;Harrison;;;;;;;;
~NoveFirstName~;Lorenzo;Alejandra;;;;;;;;
~NoveFirstName~;Ophelia;Leif;;;;;;;;
~NoveFirstName~;Sebastian;Rivka;;;;;;;;
~NoveFirstName~;Ursula;Samual;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
~NovelTemplate~;“~DetectiveTitle~”. ~NovelCost~. ~DetBlurb~.  The Author is ~RandDetAuthor~. ;;;;;;;;;Detective
~NovelTemplate~;“~DetectiveTitle~”. ~NovelCost~. ~DetBlurb~.  The Author is ~RandDetAuthor~. ;;;;;;;;;
;;;;;;;;;;
~DetectiveTitle~;~DetWordA~1 of ~DetWordB~1;;;;;;;;;
~DetectiveTitle~;~DetWordA~2 ~DetWordB~2;;;;;;;;;
~DetectiveTitle~;~DetWordA~3 and ~DetWordB~3;;;;;;;;;
~DetectiveTitle~;~DetWordA~4 ~DetWordB~4;;;;;;;;;
;;;;;;;;;;
~DetWordA~;Morning;Cursed;Fame;Sinner's;;;;;;
~DetWordA~;Department;Azure;Nine;bloody;;;;;;
~DetWordA~;library;Woken;Walker;Dead man's;;;;;;
~DetWordA~;Memories;Ozman's;Nightfall;voidwrought;;;;;;
~DetWordA~;Window;Whistling;Gold;terminal;;;;;;
~DetWordA~;Minister;Austere;Bullets;Nuclear;;;;;;
~DetWordA~;Clock;Burning;Opal;internal;;;;;;
~DetWordA~;Kiss;Forgotten;Raven;Barren;;;;;;
~DetWordA~;Debt;Twighlight's;Fletch;dabbler's;;;;;;
~DetWordA~;Winter;Escher's;Twist;Fallen;;;;;;
~DetWordA~;Ship;Painted;Snakes;Splintered;;;;;;
~DetWordA~;Artist;Broken;Lightining;impermanent;;;;;;
~DetWordA~;Tinker;Hollow;Fire;her;;;;;;
~DetWordA~;Warden;Anangke's;Myself;Friday's;;;;;;
~DetWordA~;Skull;Black;Smoke;Coppercliff;;;;;;
;;;;;;;;;;
~DetWordB~;Blood;Tiger;Fortune;eye;;;;;;
~DetWordB~;death;Opal;Guilt;promises;;;;;;
~DetWordB~;diamonds;Arrow;Deciet;oath;;;;;;
~DetWordB~;Rats;Challice;Winter;wist;;;;;;
~DetWordB~;lies;Ring;lies;velocity;;;;;;
~DetWordB~;frost;Casket;Security;debt;;;;;;
~DetWordB~;the forgotten;Mirror;reflections;Minstrel;;;;;;Detective
~DetWordB~;Tomorrow;Fulcrum;ink;enigma;;;;;;
~DetWordB~;The Lighthose;Hand;riddles;witness;;;;;;
~DetWordB~;infinity;Sanctuary;Cross;wisdom;;;;;;
;;;;;;;;;;
~RandDetAuthor~;~RandAuthor~;JONH DOE;DOE;his;;;;;;
~RandDetAuthor~;~RandAuthor~;JANE DOE;DOE;her;;;;;;
~RandDetAuthor~;Jonus Ortu;Detective Justine Rekart;Rekart;her;Dr. Xanders Tavack;the doctor;his;;;
~RandDetAuthor~;Jess Mizer;George Signet;Signet;his;Medaine Whitestone;Whitestone;her;;;
~RandDetAuthor~;Perseus;The nameless pilgrim;the pilgrim;her;Uvian, Truthseeker of Everhome;Uvian;his;;;
~RandDetAuthor~;P.Q. Ighting;Odysseus ;Odysseus;his;Mistryl Skybright;Missy;her;;;
;;;;;;;;;;
;;;;;;;;;;
~QQDetHeroDescribe~;young;Violent;;;;;;;;
~QQDetHeroDescribe~;amateur;Corrupt;;;;;;;;
~QQDetHeroDescribe~;cynical;Sadistic;;;;;;;;
~QQDetHeroDescribe~;streetwise;Petty;;;;;;;;
~QQDetHeroDescribe~;gifted;Scheming;;;;;;;;
~QQDetHeroDescribe~;desperate;Heartless;;;;;;;;
~QQDetHeroDescribe~;widowed;Derranged;;;;;;;;
~QQDetHeroDescribe~;idealistic;Vengeful;;;;;;;;
~QQDetHeroDescribe~;sociable;Uncomprimising;;;;;;;;
~QQDetHeroDescribe~;sheltered;Egocentric;;;;;;;;
~QQDetHeroDescribe~;cautious;Calous;;;;;;;;
~QQDetHeroDescribe~;luckless;Overbearing;;;;;;;;
~QQDetHeroDescribe~;Lonely;Obsessive;;;;;;;;
~QQDetHeroDescribe~;Ex-military;Calculating;;;;;;;;
~QQDetHeroDescribe~;Eccentric;Arrogant;;;;;;;;
~QQDetHero~;mother;Serial-Killer;;;;;;;;
~QQDetHero~;detective;detective;;;;;;;;
~QQDetHero~;lawyer;lawyer;;;;;;;;Detective
~QQDetHero~;anarchist;anarchist;;;;;;;;
~QQDetHero~;hacker;hacker;;;;;;;;
~QQDetHero~;Journalist;Journalist;;;;;;;;
~QQDetHero~;schoolteacher;CEO;;;;;;;;
~QQDetHero~;doctor;Diplomat;;;;;;;;
~QQDetHero~;Mercenary;Mercenary;;;;;;;;
~QQDetHero~;Scientist;Scientist;;;;;;;;
~QQDetHero~;taxidriver;Thug;;;;;;;;
~QQDetHero~;Carpenter;Comic book artist;;;;;;;;
~QQDetHero~;Diplomat;Assasin;;;;;;;;
~QQDetHero~;Lawkeeper;Lawkeeper;;;;;;;;
~QQDetHero~;Archon;Archon;;;;;;;;
~QQDetHeroAction~;must outmaneuver;must find a way to cooperate with ~DetHeroName~3 ~QQDetHeroDescribe~2;starting interplanetary war;;;;;;;
~QQDetHeroAction~;tries to escape from;must pierce a hidden conspiracy;releasing a deadly neurotoxin;;;;;;;
~QQDetHeroAction~;seeks justice against;must survive repeated assasination attempts;stealing some sort of valuable something;;;;;;;
~QQDetHeroAction~;is forced to work alongside;must win a rigged gameshow;gaining control of all human governments;;;;;;;
~QQDetHeroAction~;must bring to justice;relaxes at home;Hijacking the Avatars;;;;;;;
~QQDetHeroAction~;scours the city for;must call on all ~DetHeroName~3 cunning;annhilating a ship of innocent (and not so innocent) civilians;;;;;;;
~QQDetHeroAction~;wakes up, unaware of the threat posed by; and a ~QQDetHeroDescribe~1 ~QQDetHero~1 must work togeather;sabotaging the life support systems of the Nine Gardens;;;;;;;
~QQDetHeroAction~;spends eight years tracking;must risk life and limb;framing an innocent ~QQDetHero~1;;;;;;;
